,record_id,data_kubun,data_sakusei_nengappi,kaisai_nen,kaisai_tsukihi,keibajo_code,kaisai_kai,kaisai_nichime,race_bango,wakuban,umaban,ketto_toroku_bango,bamei,umakigo_code,seibetsu_code,hinshu_code,moshoku_code,barei,tozai_shozoku_code,chokyoshi_code,chokyoshimei_ryakusho,banushi_code,banushimei,fukushoku_hyoji,yobi_1,futan_juryo,futan_juryo_henkomae,blinker_shiyo_kubun,yobi_2,kishu_code,kishu_code_henkomae,kishumei_ryakusho,kishumei_ryakusho_henkomae,kishu_minarai_code,kishu_minarai_code_henkomae,bataiju,zogen_fugo,zogen_sa,ijo_kubun_code,nyusen_juni,kakutei_chakujun,dochaku_kubun,dochaku_tosu,soha_time,chakusa_code_1,chakusa_code_2,chakusa_code_3,corner_1,corner_2,corner_3,corner_4,tansho_odds,tansho_ninkijun,kakutoku_honshokin,kakutoku_fukashokin,yobi_3,yobi_4,kohan_4f,kohan_3f,aiteuma_joho_1,aiteuma_joho_2,aiteuma_joho_3,time_sa,record_koshin_kubun,mining_kubun,yoso_soha_time,yoso_gosa_plus,yoso_gosa_minus,yoso_juni,kyakushitsu_hantei,group
10,SE,7,20231008,2023,1008,35,08,04,02,7,09,2021102092,ジョウシュウノカゼ　　　　　　　　　,00,2,1,03,02,3,20477,佐藤祐司,000000,角谷　守正　　　　　　　　　　　　　　　　　　　　　　　　　　　,白，赤縦縞，黒袖赤一本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,510,000,0,0,21346,00000,佐々木志,　　　　,3,0,400,-,005,0,10,10,0,0,1178,K  ,   ,   ,00,00,08,09,0000,00,00000000,00000000,000,000,000,400,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+030,0,0,00000,0000,0000,00,0,2023-1008-35-2
11,SE,7,20231008,2023,1008,35,08,04,02,7,08,2021102446,ラストパラダイス　　　　　　　　　　,00,3,1,05,02,3,20484,櫻田康二,253006,山本　武司　　　　　　　　　　　　　　　　　　　　　　　　　　　,青，白元禄，青袖白一本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,550,000,0,0,05552,00000,鈴木祐　,　　　　,0,0,471,+,009,0,11,11,0,0,1186,5  ,   ,   ,00,00,10,10,0000,00,00000000,00000000,000,000,000,405,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+038,0,0,00000,0000,0000,00,0,2023-1008-35-2
12,SE,7,20231008,2023,1008,35,08,04,02,2,02,2021103456,リュウノバデン　　　　　　　　　　　,00,1,1,07,02,3,05683,菅原勲　,276030,蓑島　竜一　　　　　　　　　　　　　　　　　　　　　　　　　　　,赤，白襷，白袖赤二本輪　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,550,000,0,0,05294,00000,村上忍　,　　　　,0,0,442,+,012,0,09,09,0,0,1177,3  ,   ,   ,00,00,07,08,0000,00,00000000,00000000,000,000,000,400,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+029,0,0,00000,0000,0000,00,0,2023-1008-35-2
13,SE,7,20231008,2023,1008,35,08,04,02,1,01,2021103627,アップリュウオウ　　　　　　　　　　,00,1,1,01,02,3,05417,佐藤雅彦,000000,増田　兼良　　　　　　　　　　　　　　　　　　　　　　　　　　　,黄，青一本輪，袖青縦縞　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,550,000,0,0,05591,00000,塚本涼人,　　　　,0,0,427,+,004,0,03,03,0,0,1163,6  ,   ,   ,00,00,03,05,0000,00,00001300,00000000,000,000,000,391,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+015,0,0,00000,0000,0000,00,0,2023-1008-35-2
14,SE,7,20231008,2023,1008,35,08,04,02,8,11,2021103781,マルケイフォルテ　　　　　　　　　　,00,1,1,01,02,3,05137,石川栄　,000000,熊谷　清則　　　　　　　　　　　　　　　　　　　　　　　　　　　,青，桃一文字　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,550,000,0,0,05119,00000,阿部英俊,　　　　,0,0,432, ,000,0,02,02,0,0,1154,4  ,   ,   ,00,00,03,02,0000,00,00002280,00000000,000,000,000,381,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+006,0,0,00000,0000,0000,00,0,2023-1008-35-2
15,SE,7,20231008,2023,1008,35,08,04,02,6,06,2021104290,ゴーゴーダンサー　　　　　　　　　　,00,2,1,01,02,3,05417,佐藤雅彦,130031,長島　和彦　　　　　　　　　　　　　　　　　　　　　　　　　　　,黄，黒縦縞，黒袖黄二本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,20424,00000,坂口裕一,　　　　,0,0,397,+,001,0,07,07,0,0,1171, 12,   ,   ,00,00,11,11,0000,00,00000000,00000000,000,000,000,383,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+023,0,0,00000,0000,0000,00,0,2023-1008-35-2
16,SE,7,20231008,2023,1008,35,08,04,02,6,07,2021106170,クイーンカード　　　　　　　　　　　,00,2,1,04,02,3,20506,櫻田浩樹,384033,北原　光一郎　　　　　　　　　　　　　　　　　　　　　　　　　　,黒，赤縦縞，袖黄一本輪　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05183,00000,南郷家全,　　　　,0,0,429,-,003,0,04,04,0,0,1163,A  ,   ,   ,00,00,02,03,0000,00,00000850,00000000,000,000,000,393,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+015,0,0,00000,0000,0000,00,0,2023-1008-35-2
17,SE,7,20231008,2023,1008,35,08,04,02,5,05,2021106509,リュウノリヤド　　　　　　　　　　　,00,2,1,01,02,3,05358,新田守　,276030,蓑島　竜一　　　　　　　　　　　　　　　　　　　　　　　　　　　,紫，黒縦縞，白袖紫一本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05571,00000,菅原辰徳,　　　　,0,0,425,-,010,0,06,06,0,0,1170,4  ,   ,   ,00,00,09,07,0000,00,00000000,00000000,000,000,000,392,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+022,0,0,00000,0000,0000,00,0,2023-1008-35-2
18,SE,7,20231008,2023,1008,35,08,04,02,4,04,2021109039,マルケイヴェスパー　　　　　　　　　,00,2,1,03,02,3,05555,三野宮通,000000,熊谷　清則　　　　　　　　　　　　　　　　　　　　　　　　　　　,緑，黄袖緑一本輪　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05577,00000,岩本怜　,　　　　,0,0,430,+,002,0,01,01,0,0,1148,   ,   ,   ,00,00,01,01,0000,00,00006500,00000000,000,000,000,380,2021103781マルケイフォルテ　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,-006,0,0,00000,0000,0000,00,0,2023-1008-35-2
19,SE,7,20231008,2023,1008,35,08,04,02,8,10,2021109075,タイホーリバティ　　　　　　　　　　,00,2,1,03,02,3,20656,飯田弘道,563007,山田　武雄　　　　　　　　　　　　　　　　　　　　　　　　　　　,黒，桃ダイヤモンド，桃袖黒一本輪　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05560,00000,小林凌　,　　　　,0,0,483,-,005,0,08,08,0,0,1172, 34,   ,   ,00,00,05,06,0000,00,00000000,00000000,000,000,000,397,2021109039マルケイヴェスパー　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+024,0,0,00000,0000,0000,00,0,2023-1008-35-2
20,SE,2,20231006,2023,1008,35,08,04,03,1,01,2021100887,エコロヴェルデ　　　　　　　　　　　,00,1,1,04,02,3,05365,村上実　,000000,岩渕　瑞生　　　　　　　　　　　　　　　　　　　　　　　　　　　,赤，白襷，白袖赤二本輪　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,550,000,0,0,05294,00000,村上忍　,　　　　,0,0,   , ,   ,0,00,00,0,0,0000,   ,   ,   ,00,00,00,00,0000,00,00000000,00000000,000,000,000,000,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000,0,0,00000,0000,0000,00,0,2023-1008-35-3
21,SE,7,20231008,2023,1008,35,08,04,03,2,02,2021102037,リュウノラッシュ　　　　　　　　　　,00,2,1,03,02,3,20506,櫻田浩樹,276030,蓑島　竜一　　　　　　　　　　　　　　　　　　　　　　　　　　　,黒，赤縦縞，袖黄一本輪　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05183,00000,南郷家全,　　　　,0,0,398, ,   ,0,04,04,0,0,1059,T  ,   ,   ,00,00,04,04,0000,00,00002210,00000000,000,000,000,402,2021106894サクラトップキッド　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+046,0,0,00000,0000,0000,00,0,2023-1008-35-3
22,SE,7,20231008,2023,1008,35,08,04,03,3,03,2021103190,ロンギングソード　　　　　　　　　　,00,2,1,04,02,3,20642,工藤裕孝,113030,坂本　浩一　　　　　　　　　　　　　　　　　　　　　　　　　　　,黒，桃ダイヤモンド，桃袖黒一本輪　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05560,00000,小林凌　,　　　　,0,0,435, ,   ,0,03,03,0,0,1031,7  ,   ,   ,00,00,02,03,0000,00,00003400,00000000,000,000,000,378,2021106894サクラトップキッド　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+018,0,0,00000,0000,0000,00,0,2023-1008-35-3
23,SE,7,20231008,2023,1008,35,08,04,03,4,04,2021106894,サクラトップキッド　　　　　　　　　,00,1,1,03,02,3,05720,伊藤和忍,018803,トップフェロウ　　　　　　　　　　　　　　　　　　　　　　　　　,白，青襷，桃袖　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,550,000,0,0,05463,00000,高橋悠里,　　　　,0,0,433, ,   ,0,01,01,0,0,1013,   ,   ,   ,00,00,03,02,0000,00,00017000,00000000,000,000,000,358,2021106905モンサンデネブ　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,-006,0,0,00000,0000,0000,00,0,2023-1008-35-3
24,SE,7,20231008,2023,1008,35,08,04,03,5,05,2021106905,モンサンデネブ　　　　　　　　　　　,00,2,1,04,02,3,05685,板垣吉則,919002,山下　新一　　　　　　　　　　　　　　　　　　　　　　　　　　　,紫，黒縦縞，白袖紫一本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05571,00000,菅原辰徳,　　　　,0,0,452, ,   ,0,02,02,0,0,1019,4  ,   ,   ,00,00,01,01,0000,00,00005950,00000000,000,000,000,367,2021106894サクラトップキッド　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+006,0,0,00000,0000,0000,00,0,2023-1008-35-3
25,SE,7,20231008,2023,1008,35,08,04,04,5,05,2015105384,ユーデモニクス　　　　　　　　　　　,00,3,1,05,08,3,05029,伊藤和　,014031,松田　正一　　　　　　　　　　　　　　　　　　　　　　　　　　　,白，赤縦縞，黒袖赤一本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,530,000,0,0,21346,00000,佐々木志,　　　　,3,0,480,+,002,0,06,06,0,0,1023, 12,   ,   ,00,00,08,07,0000,00,00000000,00000000,000,000,000,369,2020101564テルテ　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+015,0,0,00000,0000,0000,00,0,2023-1008-35-4
26,SE,7,20231008,2023,1008,35,08,04,04,7,10,2015105958,グラデュエイト　　　　　　　　　　　,00,1,1,05,08,3,20506,櫻田浩樹,249033,阿部　友弘　　　　　　　　　　　　　　　　　　　　　　　　　　　,青，赤袖，白星散　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,560,000,0,0,05462,00000,大坪慎　,　　　　,0,0,493,-,004,0,03,03,0,0,1018,5  ,   ,   ,00,00,06,04,0000,00,00000700,00000000,000,000,000,368,2020101564テルテ　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+010,0,0,00000,0000,0000,00,0,2023-1008-35-4
27,SE,7,20231008,2023,1008,35,08,04,04,8,12,2017104453,マイネルチューダ　　　　　　　　　　,00,1,1,03,06,3,20516,高橋純　,000000,岩渕　道良　　　　　　　　　　　　　　　　　　　　　　　　　　　,黄，黒縦縞，黒袖黄二本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,560,000,0,0,20424,00000,坂口裕一,　　　　,0,0,466,+,004,0,07,07,0,0,1025,112,   ,   ,00,00,03,03,0000,00,00000000,00000000,000,000,000,379,2020101564テルテ　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+017,0,0,00000,0000,0000,00,0,2023-1008-35-4
28,SE,7,20231008,2023,1008,35,08,04,04,1,01,2018101474,ウインラザンツ　　　　　　　　　　　,00,3,1,03,05,3,20590,関本浩司,000000,岩渕　瑞生　　　　　　　　　　　　　　　　　　　　　　　　　　　,白，青襷，桃袖　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,560,000,0,0,05463,00000,高橋悠里,　　　　,0,0,506,-,010,0,02,02,0,0,1010,112,   ,   ,00,00,04,02,0000,00,00001230,00000000,000,000,000,362,2020101564テルテ　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+002,0,0,00000,0000,0000,00,0,2023-1008-35-4
29,SE,7,20231008,2023,1008,35,08,04,04,6,07,2018105540,グレーシー　　　　　　　　　　　　　,00,2,1,06,05,3,20484,櫻田康二,482031,乙訓　史樹　　　　　　　　　　　　　　　　　　　　　　　　　　　,青，白元禄，青袖白一本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05552,00000,鈴木祐　,　　　　,0,0,390,+,001,0,10,10,0,0,1037,112,   ,   ,00,00,02,05,0000,00,00000000,00000000,000,000,000,392,2020101564テルテ　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+029,0,0,00000,0000,0000,00,0,2023-1008-35-4
30,SE,7,20231008,2023,1008,35,08,04,04,7,09,2019106516,スマイリールリカ　　　　　　　　　　,00,2,1,01,04,3,20656,飯田弘道,778033,前田　敏文　　　　　　　　　　　　　　　　　　　　　　　　　　　,黄，青一本輪，袖青縦縞　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05591,00000,塚本涼人,　　　　,0,0,498,-,011,0,11,11,0,0,1040,134,   ,   ,00,00,10,11,0000,00,00000000,00000000,000,000,000,381,2020101564テルテ　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+032,0,0,00000,0000,0000,00,0,2023-1008-35-4
31,SE,7,20231008,2023,1008,35,08,04,04,5,06,2020101564,テルテ　　　　　　　　　　　　　　　,00,2,1,04,03,3,05033,菅原右吉,362800,下河辺牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　,青，桃一文字　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05119,00000,阿部英俊,　　　　,0,0,445,-,008,0,01,01,0,0,1008,   ,   ,   ,00,00,01,01,0000,00,00003500,00000000,000,000,000,365,2018101474ウインラザンツ　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,-002,0,0,00000,0000,0000,00,0,2023-1008-35-4
32,SE,7,20231008,2023,1008,35,08,04,04,2,02,2020101935,マリアンヌ　　　　　　　　　　　　　,00,2,1,03,03,3,05481,瀬戸幸一,000000,安藤　浩也　　　　　　　　　　　　　　　　　　　　　　　　　　　,紫，黒縦縞，白袖紫一本輪　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,000,0,0,05571,00000,菅原辰徳,　　　　,0,0,470,-,004,0,05,05,0,0,1022,112,   ,   ,00,00,09,08,0000,00,00000250,00000000,000,000,000,367,2020101564テルテ　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,+014,0,0,00000,0000,0000,00,0,2023-1008-35-4
