,record_id,data_kubun,data_sakusei_nengappi,kaisai_nen,kaisai_tsukihi,keibajo_code,kaisai_kai,kaisai_nichime,race_bango,toroku_tosu,shusso_tosu,fuseiritsu_flag_tansho,fuseiritsu_flag_fukusho,fuseiritsu_flag_wakuren,fuseiritsu_flag_umaren,fuseiritsu_flag_wide,fuseiritsu_flag_wakutan,fuseiritsu_flag_umatan,fuseiritsu_flag_sanrenpuku,fuseiritsu_flag_sanrentan,tokubarai_flag_tansho,tokubarai_flag_fukusho,tokubarai_flag_wakuren,tokubarai_flag_umaren,tokubarai_flag_wide,tokubarai_flag_wakutan,tokubarai_flag_umatan,tokubarai_flag_sanrenpuku,tokubarai_flag_sanrentan,henkan_flag_tansho,henkan_flag_fukusho,henkan_flag_wakuren,henkan_flag_umaren,henkan_flag_wide,henkan_flag_wakutan,henkan_flag_umatan,henkan_flag_sanrenpuku,henkan_flag_sanrentan,henkan_umaban_joho,henkan_wakuban_joho,henkan_dowaku_joho,haraimodoshi_tansho_1a,haraimodoshi_tansho_1b,haraimodoshi_tansho_1c,haraimodoshi_tansho_2a,haraimodoshi_tansho_2b,haraimodoshi_tansho_2c,haraimodoshi_tansho_3a,haraimodoshi_tansho_3b,haraimodoshi_tansho_3c,haraimodoshi_fukusho_1a,haraimodoshi_fukusho_1b,haraimodoshi_fukusho_1c,haraimodoshi_fukusho_2a,haraimodoshi_fukusho_2b,haraimodoshi_fukusho_2c,haraimodoshi_fukusho_3a,haraimodoshi_fukusho_3b,haraimodoshi_fukusho_3c,haraimodoshi_fukusho_4a,haraimodoshi_fukusho_4b,haraimodoshi_fukusho_4c,haraimodoshi_fukusho_5a,haraimodoshi_fukusho_5b,haraimodoshi_fukusho_5c,haraimodoshi_wakuren_1a,haraimodoshi_wakuren_1b,haraimodoshi_wakuren_1c,haraimodoshi_wakuren_2a,haraimodoshi_wakuren_2b,haraimodoshi_wakuren_2c,haraimodoshi_wakuren_3a,haraimodoshi_wakuren_3b,haraimodoshi_wakuren_3c,haraimodoshi_umaren_1a,haraimodoshi_umaren_1b,haraimodoshi_umaren_1c,haraimodoshi_umaren_2a,haraimodoshi_umaren_2b,haraimodoshi_umaren_2c,haraimodoshi_umaren_3a,haraimodoshi_umaren_3b,haraimodoshi_umaren_3c,haraimodoshi_wide_1a,haraimodoshi_wide_1b,haraimodoshi_wide_1c,haraimodoshi_wide_2a,haraimodoshi_wide_2b,haraimodoshi_wide_2c,haraimodoshi_wide_3a,haraimodoshi_wide_3b,haraimodoshi_wide_3c,haraimodoshi_wide_4a,haraimodoshi_wide_4b,haraimodoshi_wide_4c,haraimodoshi_wide_5a,haraimodoshi_wide_5b,haraimodoshi_wide_5c,haraimodoshi_wide_6a,haraimodoshi_wide_6b,haraimodoshi_wide_6c,haraimodoshi_wide_7a,haraimodoshi_wide_7b,haraimodoshi_wide_7c,haraimodoshi_wakutan_1a,haraimodoshi_wakutan_1b,haraimodoshi_wakutan_1c,haraimodoshi_wakutan_2a,haraimodoshi_wakutan_2b,haraimodoshi_wakutan_2c,haraimodoshi_wakutan_3a,haraimodoshi_wakutan_3b,haraimodoshi_wakutan_3c,yobi_1,haraimodoshi_umatan_1a,haraimodoshi_umatan_1b,haraimodoshi_umatan_1c,haraimodoshi_umatan_2a,haraimodoshi_umatan_2b,haraimodoshi_umatan_2c,haraimodoshi_umatan_3a,haraimodoshi_umatan_3b,haraimodoshi_umatan_3c,haraimodoshi_umatan_4a,haraimodoshi_umatan_4b,haraimodoshi_umatan_4c,haraimodoshi_umatan_5a,haraimodoshi_umatan_5b,haraimodoshi_umatan_5c,haraimodoshi_umatan_6a,haraimodoshi_umatan_6b,haraimodoshi_umatan_6c,haraimodoshi_sanrenpuku_1a,haraimodoshi_sanrenpuku_1b,haraimodoshi_sanrenpuku_1c,haraimodoshi_sanrenpuku_2a,haraimodoshi_sanrenpuku_2b,haraimodoshi_sanrenpuku_2c,haraimodoshi_sanrenpuku_3a,haraimodoshi_sanrenpuku_3b,haraimodoshi_sanrenpuku_3c,haraimodoshi_sanrentan_1a,haraimodoshi_sanrentan_1b,haraimodoshi_sanrentan_1c,haraimodoshi_sanrentan_2a,haraimodoshi_sanrentan_2b,haraimodoshi_sanrentan_2c,haraimodoshi_sanrentan_3a,haraimodoshi_sanrentan_3b,haraimodoshi_sanrentan_3c,haraimodoshi_sanrentan_4a,haraimodoshi_sanrentan_4b,haraimodoshi_sanrentan_4c,haraimodoshi_sanrentan_5a,haraimodoshi_sanrentan_5b,haraimodoshi_sanrentan_5c,haraimodoshi_sanrentan_6a,haraimodoshi_sanrentan_6b,haraimodoshi_sanrentan_6c
255,HR,2,20231006,2023,1006,44,11,05,07,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,04,000000230,01,  ,         ,  ,  ,         ,  ,04,000000120,01,02,000000170,04,05,000000150,03,  ,         ,  ,  ,         ,  ,24,000000620,02,  ,         ,  ,  ,         ,  ,0204,000000580,002,    ,         ,   ,    ,         ,   ,0204,000000290,002,0405,000000310,003,0205,000000550,010,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,42,000001010,03,  ,         ,  ,  ,         ,  ,         ,0402,000001030,002,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,020405,000001100,003,      ,         ,   ,      ,         ,   ,040205,000004070,0006,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
256,HR,2,20231006,2023,1006,44,11,05,08,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,03,000000320,03,  ,         ,  ,  ,         ,  ,03,000000130,03,12,000000110,01,02,000000110,02,  ,         ,  ,  ,         ,  ,38,000000550,03,  ,         ,  ,  ,         ,  ,0312,000000670,003,    ,         ,   ,    ,         ,   ,0312,000000270,003,0203,000000220,002,0212,000000180,001,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,38,000001220,05,  ,         ,  ,  ,         ,  ,         ,0312,000001210,005,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,020312,000000450,001,      ,         ,   ,      ,         ,   ,031202,000002580,0005,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
257,HR,2,20231006,2023,1006,44,11,05,09,09,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,09,000000230,02,  ,         ,  ,  ,         ,  ,09,000000110,02,03,000000190,04,08,000000110,01,  ,         ,  ,  ,         ,  ,38,000000680,03,  ,         ,  ,  ,         ,  ,0309,000001240,005,    ,         ,   ,    ,         ,   ,0309,000000320,005,0809,000000140,001,0308,000000320,004,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,83,000000980,03,  ,         ,  ,  ,         ,  ,         ,0903,000001870,006,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,030809,000000530,002,      ,         ,   ,      ,         ,   ,090308,000004370,0014,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
258,HR,2,20231006,2023,1006,44,11,05,10,09,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,05,000000150,01,  ,         ,  ,  ,         ,  ,05,000000100,01,04,000000170,04,03,000000110,02,  ,         ,  ,  ,         ,  ,45,000000690,03,  ,         ,  ,  ,         ,  ,0405,000000700,003,    ,         ,   ,    ,         ,   ,0405,000000200,003,0305,000000140,001,0304,000000470,007,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,54,000000920,04,  ,         ,  ,  ,         ,  ,         ,0504,000000990,005,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,030405,000000700,002,      ,         ,   ,      ,         ,   ,050403,000002350,0006,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
259,HR,2,20231006,2023,1006,44,11,05,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,04,000001580,05,  ,         ,  ,  ,         ,  ,04,000000410,04,09,000000730,09,03,000000520,06,  ,         ,  ,  ,         ,  ,47,000002460,08,  ,         ,  ,  ,         ,  ,0409,000020420,031,    ,         ,   ,    ,         ,   ,0409,000002740,026,0304,000002390,024,0309,000003120,028,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,47,000005710,17,  ,         ,  ,  ,         ,  ,         ,0409,000045240,060,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,030409,000042700,075,      ,         ,   ,      ,         ,   ,040903,000355010,0442,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
260,HR,2,20231006,2023,1006,44,11,05,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,06,000000300,01,  ,         ,  ,  ,         ,  ,06,000000110,01,11,000000150,02,12,000000190,03,  ,         ,  ,  ,         ,  ,58,000000290,01,  ,         ,  ,  ,         ,  ,0611,000000520,001,    ,         ,   ,    ,         ,   ,0611,000000270,001,0612,000000440,004,1112,000000490,006,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,58,000000680,01,  ,         ,  ,  ,         ,  ,         ,0611,000001140,002,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,061112,000001150,002,      ,         ,   ,      ,         ,   ,061112,000004420,0001,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
261,HR,2,20231006,2023,1006,48,14,04,01,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,09,000000180,01,  ,         ,  ,  ,         ,  ,09,000000130,01,02,000000330,06,10,000000210,04,  ,         ,  ,  ,         ,  ,27,000001400,05,  ,         ,  ,  ,         ,  ,0209,000000870,003,    ,         ,   ,    ,         ,   ,0209,000000420,005,0910,000000370,003,0210,000001440,018,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,  ,         ,  ,  ,         ,  ,  ,         ,  ,         ,0902,000001340,004,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,020910,000002320,009,      ,         ,   ,      ,         ,   ,090210,000006920,0020,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
262,HR,2,20231006,2023,1006,48,14,04,02,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0000000000000000000000000000,00000000,00000000,03,000000280,01,  ,         ,  ,  ,         ,  ,03,000000110,01,04,000000120,02,05,000000170,04,  ,         ,  ,  ,         ,  ,34,000000490,02,  ,         ,  ,  ,         ,  ,0304,000000620,002,    ,         ,   ,    ,         ,   ,0304,000000250,003,0305,000000210,002,0405,000000380,007,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,  ,         ,  ,  ,         ,  ,  ,         ,  ,         ,0304,000001170,006,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,030405,000000760,003,      ,         ,   ,      ,         ,   ,030405,000004200,0014,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
263,HR,2,20231006,2023,1006,48,14,04,03,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,09,000000730,03,  ,         ,  ,  ,         ,  ,09,000000200,03,05,000000120,01,10,000000340,06,  ,         ,  ,  ,         ,  ,57,000000500,02,  ,         ,  ,  ,         ,  ,0509,000000740,002,    ,         ,   ,    ,         ,   ,0509,000000290,002,0910,000001340,013,0510,000000680,007,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,  ,         ,  ,  ,         ,  ,  ,         ,  ,         ,0905,000002400,006,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,050910,000002440,007,      ,         ,   ,      ,         ,   ,090510,000016970,0040,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
264,HR,2,20231006,2023,1006,48,14,04,04,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000000000000000,00000000,00000000,12,000000140,01,  ,         ,  ,  ,         ,  ,12,000000110,01,04,000000170,03,09,000000200,04,  ,         ,  ,  ,         ,  ,48,000000600,04,  ,         ,  ,  ,         ,  ,0412,000000730,003,    ,         ,   ,    ,         ,   ,0412,000000270,003,0912,000000260,002,0409,000000930,010,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,  ,         ,  ,  ,         ,  ,  ,         ,  ,         ,1204,000000980,004,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,    ,         ,   ,040912,000001390,005,      ,         ,   ,      ,         ,   ,120409,000004240,0013,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    ,      ,         ,    
